Data,ID Produto,Descrição,Número de Lotes a Comprar,Tamanho do Lote,Total de Produtos a Comprar,Estoque Anterior,Produtos que Chegaram,Previsão de Demanda,Estoque após Atender,Custo de Compra
29/10/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,27416.0,0.0,0,27416.0,0.0
05/11/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,980.0,0.0,0,980.0,0.0
05/11/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,0.0,0,4211.0,0.0
05/11/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,27416.0,-0.0,0,27416.0,0.0
12/11/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,980.0,18000.0,13309,5671.0,0.0
12/11/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,4211.0,36000.0,39434,777.0,0.0
12/11/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,27416.0,16200.0,38833,4783.0,0.0
19/11/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,5671.0,0.0,0,5671.0,0.0
19/11/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,777.0,0.0,0,777.0,0.0
19/11/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,4783.0,0.0,0,4783.0,0.0
26/11/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,5671.0,0.0,0,5671.0,0.0
26/11/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,777.0,0.0,0,777.0,0.0
26/11/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,4783.0,-0.0,0,4783.0,0.0
03/12/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,5671.0,0.0,0,5671.0,0.0
03/12/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,777.0,-0.0,0,777.0,0.0
03/12/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,4783.0,-0.0,0,4783.0,0.0
10/12/2023,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,5671.0,0.0,0,5671.0,0.0
10/12/2023,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,777.0,42000.0,38799,3978.0,0.0
10/12/2023,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,4783.0,21600.0,25834,549.0,0.0
